SessionSeg,Any,Accuracy,Fluency,Style,Critical,Minor
P00_Ist3_1,52.0,21.0,9.0,22.0,20.0,32.0
P00_Ist3_2,21.0,12.0,0.0,9.0,5.0,16.0
P00_Ist3_3,18.0,8.0,4.0,6.0,4.0,14.0
P00_Ist3_4,21.0,19.0,2.0,0.0,12.0,9.0
P00_Ist3_5,68.0,44.0,11.0,13.0,16.0,52.0
P00_Ist3_6,28.0,20.0,2.0,6.0,17.0,11.0
P00_Ist3_7,14.0,14.0,0.0,0.0,13.0,1.0
P01_Ist1_1,32.0,18.0,14.0,0.0,22.0,10.0
P01_Ist1_2,64.0,56.0,2.0,6.0,54.0,10.0
P01_Ist1_3,87.0,74.0,11.0,2.0,71.0,16.0
P01_Ist1_4,37.0,31.0,6.0,0.0,30.0,7.0
P01_Ist1_5,53.0,51.0,0.0,2.0,36.0,17.0
P01_Ist1_6,33.0,21.0,0.0,12.0,8.0,25.0
P01_Ist2_1,15.0,6.0,5.0,4.0,3.0,12.0
P01_Ist2_2,21.0,21.0,0.0,0.0,8.0,13.0
P01_Ist2_3,55.0,44.0,9.0,2.0,39.0,16.0
P01_Ist2_4,114.0,114.0,0.0,0.0,104.0,10.0
P01_Ist2_5,38.0,19.0,17.0,2.0,19.0,19.0
P01_Ist4_1,90.0,71.0,14.0,5.0,65.0,25.0
P01_Ist4_2,33.0,23.0,10.0,0.0,27.0,6.0
P01_Ist4_3,105.0,105.0,0.0,0.0,105.0,0.0
P01_Ist4_4,26.0,22.0,2.0,2.0,16.0,10.0
P01_Ist5_1,74.0,74.0,0.0,0.0,69.0,5.0
P01_Ist5_2,59.0,50.0,0.0,9.0,37.0,22.0
P01_Ist5_3,20.0,20.0,0.0,0.0,12.0,8.0
P01_Ist5_4,29.0,29.0,0.0,0.0,29.0,0.0
P01_Ist5_5,52.0,34.0,9.0,9.0,40.0,12.0
P01_Ist5_6,45.0,41.0,4.0,0.0,41.0,4.0
P02_Ist1_1,6.0,6.0,0.0,0.0,4.0,2.0
P02_Ist1_2,66.0,32.0,12.0,22.0,29.0,37.0
P02_Ist1_3,67.0,67.0,0.0,0.0,56.0,11.0
P02_Ist1_4,13.0,5.0,8.0,0.0,2.0,11.0
P02_Ist1_5,35.0,35.0,0.0,0.0,35.0,0.0
P02_Ist1_6,51.0,33.0,18.0,0.0,47.0,4.0
P02_Ist2_1,16.0,8.0,4.0,4.0,7.0,9.0
P02_Ist2_2,20.0,20.0,0.0,0.0,13.0,7.0
P02_Ist2_3,77.0,73.0,4.0,0.0,71.0,6.0
P02_Ist2_4,90.0,82.0,8.0,0.0,79.0,11.0
P02_Ist2_5,52.0,5.0,44.0,3.0,33.0,19.0
P02_Ist3_1,23.0,23.0,0.0,0.0,11.0,12.0
P02_Ist3_2,9.0,4.0,3.0,0.0,2.0,5.0
P02_Ist3_3,24.0,13.0,0.0,11.0,11.0,13.0
P02_Ist3_4,41.0,40.0,0.0,0.0,40.0,0.0
P02_Ist3_5,43.0,39.0,4.0,0.0,33.0,10.0
P02_Ist3_6,27.0,23.0,3.0,0.0,21.0,5.0
P02_Ist3_7,7.0,5.0,0.0,0.0,5.0,0.0
P02_Ist4_1,86.0,82.0,4.0,0.0,55.0,31.0
P02_Ist4_2,20.0,18.0,2.0,0.0,17.0,3.0
P02_Ist4_3,135.0,135.0,0.0,0.0,127.0,8.0
P02_Ist4_4,24.0,22.0,2.0,0.0,13.0,11.0
P03_Ist1_1,35.0,30.0,5.0,0.0,29.0,6.0
P03_Ist1_2,80.0,24.0,37.0,19.0,39.0,41.0
P03_Ist1_3,83.0,55.0,6.0,22.0,34.0,49.0
P03_Ist1_4,5.0,4.0,0.0,0.0,0.0,4.0
P03_Ist1_5,35.0,11.0,24.0,0.0,26.0,9.0
P03_Ist1_6,33.0,15.0,16.0,2.0,5.0,28.0
P03_Ist4_1,91.0,27.0,59.0,5.0,20.0,71.0
