SessionSeg,Any,Accuracy,Fluency,Style,Critical,Minor,TextID,Annotator
P00_Ist3_1,12.0,6.0,6.0,0.0,11.0,1.0,Ist3,A
P00_Ist3_2,4.0,4.0,0.0,0.0,1.0,3.0,Ist3,A
P00_Ist3_3,4.0,2.0,2.0,0.0,0.0,4.0,Ist3,A
P00_Ist3_4,7.0,7.0,0.0,0.0,4.0,3.0,Ist3,A
P00_Ist3_5,22.0,16.0,2.0,4.0,8.0,14.0,Ist3,A
P00_Ist3_6,11.0,9.0,2.0,0.0,6.0,5.0,Ist3,A
P00_Ist3_7,3.0,3.0,0.0,0.0,3.0,0.0,Ist3,A
P01_Ist1_1,15.0,6.0,9.0,0.0,10.0,5.0,Ist1,A
P01_Ist1_2,18.0,16.0,2.0,0.0,17.0,1.0,Ist1,A
P01_Ist1_3,21.0,19.0,0.0,2.0,21.0,0.0,Ist1,A
P01_Ist1_4,11.0,11.0,0.0,0.0,10.0,1.0,Ist1,A
P01_Ist1_5,16.0,14.0,0.0,2.0,5.0,11.0,Ist1,A
P01_Ist1_6,4.0,4.0,0.0,0.0,0.0,4.0,Ist1,A
P01_Ist2_1,3.0,3.0,0.0,0.0,3.0,0.0,Ist2,A
P01_Ist2_2,5.0,5.0,0.0,0.0,0.0,5.0,Ist2,A
P01_Ist2_3,18.0,12.0,4.0,2.0,16.0,2.0,Ist2,A
P01_Ist2_4,34.0,34.0,0.0,0.0,32.0,2.0,Ist2,A
P01_Ist2_5,10.0,4.0,4.0,2.0,7.0,3.0,Ist2,A
P01_Ist4_1,20.0,12.0,3.0,5.0,19.0,1.0,Ist4,A
P01_Ist4_2,9.0,5.0,4.0,0.0,6.0,3.0,Ist4,A
P01_Ist4_3,38.0,38.0,0.0,0.0,38.0,0.0,Ist4,A
P01_Ist4_4,6.0,4.0,0.0,2.0,0.0,6.0,Ist4,A
P01_Ist5_1,23.0,23.0,0.0,0.0,23.0,0.0,Ist5,A
P01_Ist5_2,15.0,15.0,0.0,0.0,5.0,10.0,Ist5,A
P01_Ist5_3,7.0,7.0,0.0,0.0,5.0,2.0,Ist5,A
P01_Ist5_4,10.0,10.0,0.0,0.0,10.0,0.0,Ist5,A
P01_Ist5_5,7.0,5.0,2.0,0.0,7.0,0.0,Ist5,A
P01_Ist5_6,4.0,4.0,0.0,0.0,4.0,0.0,Ist5,A
P02_Ist1_1,2.0,2.0,0.0,0.0,2.0,0.0,Ist1,A
P02_Ist1_2,6.0,6.0,0.0,0.0,5.0,1.0,Ist1,A
P02_Ist1_3,10.0,10.0,0.0,0.0,9.0,1.0,Ist1,A
P02_Ist1_4,3.0,3.0,0.0,0.0,0.0,3.0,Ist1,A
P02_Ist1_5,8.0,8.0,0.0,0.0,8.0,0.0,Ist1,A
P02_Ist1_6,8.0,8.0,0.0,0.0,8.0,0.0,Ist1,A
P02_Ist2_1,5.0,5.0,0.0,0.0,1.0,4.0,Ist2,A
P02_Ist2_2,2.0,2.0,0.0,0.0,2.0,0.0,Ist2,A
P02_Ist2_3,25.0,23.0,2.0,0.0,25.0,0.0,Ist2,A
P02_Ist2_4,27.0,27.0,0.0,0.0,25.0,2.0,Ist2,A
P02_Ist2_5,25.0,0.0,25.0,0.0,25.0,0.0,Ist2,A
P02_Ist3_1,7.0,7.0,0.0,0.0,5.0,2.0,Ist3,A
